model,host,size,kind,name,samples,ms
legacy32k,88200,0,delay,inApf1,417.869,4.73774
legacy32k,88200,0,delay,inApf2,317.106,3.59531
legacy32k,88200,0,delay,inApf3,1123.21,12.7348
legacy32k,88200,0,delay,inApf4,820.92,9.30748
legacy32k,88200,0,tap,L_DELAY1_T1,286,3.24263
legacy32k,88200,0,tap,L_DELAY1_T2,3197,36.2472
legacy32k,88200,0,tap,L_APF2_T,2056,23.3107
legacy32k,88200,0,tap,L_DELAY2_T,2146,24.3311
legacy32k,88200,0,tap,R_DELAY1_T,2139,24.2517
legacy32k,88200,0,tap,R_APF2_T,201,2.27891
legacy32k,88200,0,tap,R_DELAY2_T,1146,12.9932
legacy32k,88200,1,delay,leftApf1,1445.11,16.3845
legacy32k,88200,1,delay,leftDelay1,9576.02,108.572
legacy32k,88200,1,delay,leftApf2,3870.84,43.8871
legacy32k,88200,1,delay,leftDelay2,7999.73,90.6999
legacy32k,88200,1,delay,rightApf1,1952.62,22.1386
legacy32k,88200,1,delay,rightDelay1,9068.51,102.818
legacy32k,88200,1,delay,rightApf2,5711.64,64.7578
legacy32k,88200,1,delay,rightDelay2,6801.92,77.1193
legacy32k,88200,1,delay,inApf1,417.869,4.73774
legacy32k,88200,1,delay,inApf2,317.106,3.59531
legacy32k,88200,1,delay,inApf3,1123.21,12.7348
legacy32k,88200,1,delay,inApf4,820.92,9.30748
legacy32k,88200,1,tap,L_DELAY1_T1,286,3.24263
legacy32k,88200,1,tap,L_DELAY1_T2,3197,36.2472
legacy32k,88200,1,tap,L_APF2_T,2056,23.3107
legacy32k,88200,1,tap,L_DELAY2_T,2146,24.3311
legacy32k,88200,1,tap,R_DELAY1_T,2139,24.2517
legacy32k,88200,1,tap,R_APF2_T,201,2.27891
legacy32k,88200,1,tap,R_DELAY2_T,1146,12.9932
legacy32k,88200,2,delay,leftApf1,2890.23,32.769
legacy32k,88200,2,delay,leftDelay1,19152,217.143
legacy32k,88200,2,delay,leftApf2,7741.68,87.7741
legacy32k,88200,2,delay,leftDelay2,15999.5,181.4
legacy32k,88200,2,delay,rightApf1,3905.25,44.2772
legacy32k,88200,2,delay,rightDelay1,18137,205.635
legacy32k,88200,2,delay,rightApf2,11423.3,129.516
legacy32k,88200,2,delay,rightDelay2,13603.8,154.239
legacy32k,88200,2,delay,inApf1,417.869,4.73774
legacy32k,88200,2,delay,inApf2,317.106,3.59531
legacy32k,88200,2,delay,inApf3,1123.21,12.7348
legacy32k,88200,2,delay,inApf4,820.92,9.30748
legacy32k,88200,2,tap,L_DELAY1_T1,286,3.24263
legacy32k,88200,2,tap,L_DELAY1_T2,3197,36.2472
legacy32k,88200,2,tap,L_APF2_T,2056,23.3107
legacy32k,88200,2,tap,L_DELAY2_T,2146,24.3311
legacy32k,88200,2,tap,R_DELAY1_T,2139,24.2517
legacy32k,88200,2,tap,R_APF2_T,201,2.27891
legacy32k,88200,2,tap,R_DELAY2_T,1146,12.9932
legacy32k,96000,0,delay,leftApf1,722.556,7.52663
legacy32k,96000,0,delay,leftDelay1,4788.01,49.8751
legacy32k,96000,0,delay,leftApf2,1935.42,20.1606
legacy32k,96000,0,delay,leftDelay2,3999.87,41.6653
legacy32k,96000,0,delay,rightApf1,976.311,10.1699
legacy32k,96000,0,delay,rightDelay1,4534.26,47.2318
legacy32k,96000,0,delay,rightApf2,2855.82,29.7481
legacy32k,96000,0,delay,rightDelay2,3400.96,35.4267
legacy32k,96000,0,delay,inApf1,454.823,4.73774
legacy32k,96000,0,delay,inApf2,345.15,3.59531
legacy32k,96000,0,delay,inApf3,1222.54,12.7348
legacy32k,96000,0,delay,inApf4,893.518,9.30748
legacy32k,96000,0,tap,L_DELAY1_T1,286,2.97917
legacy32k,96000,0,tap,L_DELAY1_T2,3197,33.3021
legacy32k,96000,0,tap,L_APF2_T,2056,21.4167
legacy32k,96000,0,tap,L_DELAY2_T,2146,22.3542
legacy32k,96000,0,tap,R_DELAY1_T,2139,22.2812
legacy32k,96000,0,tap,R_APF2_T,201,2.09375
legacy32k,96000,0,tap,R_DELAY2_T,1146,11.9375
legacy32k,96000,1,delay,leftApf1,1445.11,15.0533
legacy32k,96000,1,delay,leftDelay1,9576.02,99.7502
legacy32k,96000,1,delay,leftApf2,3870.84,40.3212
legacy32k,96000,1,delay,leftDelay2,7999.73,83.3305
legacy32k,96000,1,delay,rightApf1,1952.62,20.3398
legacy32k,96000,1,delay,rightDelay1,9068.51,94.4637
legacy32k,96000,1,delay,rightApf2,5711.64,59.4962
legacy32k,96000,1,delay,rightDelay2,6801.92,70.8534
legacy32k,96000,1,delay,inApf1,454.823,4.73774
legacy32k,96000,1,delay,inApf2,345.15,3.59531
legacy32k,96000,1,delay,inApf3,1222.54,12.7348
legacy32k,96000,1,delay,inApf4,893.518,9.30748
legacy32k,96000,1,tap,L_DELAY1_T1,286,2.97917
legacy32k,96000,1,tap,L_DELAY1_T2,3197,33.3021
legacy32k,96000,1,tap,L_APF2_T,2056,21.4167
legacy32k,96000,1,tap,L_DELAY2_T,2146,22.3542
legacy32k,96000,1,tap,R_DELAY1_T,2139,22.2812
legacy32k,96000,1,tap,R_APF2_T,201,2.09375
legacy32k,96000,1,tap,R_DELAY2_T,1146,11.9375
legacy32k,96000,2,delay,leftApf1,2890.23,30.1065
legacy32k,96000,2,delay,leftDelay1,19152,199.5
legacy32k,96000,2,delay,leftApf2,7741.68,80.6425
legacy32k,96000,2,delay,leftDelay2,15999.5,166.661
legacy32k,96000,2,delay,rightApf1,3905.25,40.6796
legacy32k,96000,2,delay,rightDelay1,18137,188.927
legacy32k,96000,2,delay,rightApf2,11423.3,118.992
legacy32k,96000,2,delay,rightDelay2,13603.8,141.707
legacy32k,96000,2,delay,inApf1,454.823,4.73774
legacy32k,96000,2,delay,inApf2,345.15,3.59531
legacy32k,96000,2,delay,inApf3,1222.54,12.7348
legacy32k,96000,2,delay,inApf4,893.518,9.30748
legacy32k,96000,2,tap,L_DELAY1_T1,286,2.97917
legacy32k,96000,2,tap,L_DELAY1_T2,3197,33.3021
legacy32k,96000,2,tap,L_APF2_T,2056,21.4167
legacy32k,96000,2,tap,L_DELAY2_T,2146,22.3542
legacy32k,96000,2,tap,R_DELAY1_T,2139,22.2812
legacy32k,96000,2,tap,R_APF2_T,201,2.09375
legacy32k,96000,2,tap,R_DELAY2_T,1146,11.9375
legacy32k,192000,0,delay,leftApf1,722.556,3.76331
legacy32k,192000,0,delay,leftDelay1,4788.01,24.9376
legacy32k,192000,0,delay,leftApf2,1935.42,10.0803
legacy32k,192000,0,delay,leftDelay2,3999.87,20.8326
legacy32k,192000,0,delay,rightApf1,976.311,5.08495
legacy32k,192000,0,delay,rightDelay1,4534.26,23.6159
legacy32k,192000,0,delay,rightApf2,2855.82,14.8741
legacy32k,192000,0,delay,rightDelay2,3400.96,17.7133
legacy32k,192000,0,delay,inApf1,909.647,4.73774
legacy32k,192000,0,delay,inApf2,690.299,3.59531
legacy32k,192000,0,delay,inApf3,2445.08,12.7348
legacy32k,192000,0,delay,inApf4,1787.04,9.30748
legacy32k,192000,0,tap,L_DELAY1_T1,286,1.48958
legacy32k,192000,0,tap,L_DELAY1_T2,3197,16.651
legacy32k,192000,0,tap,L_APF2_T,2056,10.7083
legacy32k,192000,0,tap,L_DELAY2_T,2146,11.1771
legacy32k,192000,0,tap,R_DELAY1_T,2139,11.1406
legacy32k,192000,0,tap,R_APF2_T,201,1.04688
legacy32k,192000,0,tap,R_DELAY2_T,1146,5.96875
legacy32k,192000,1,delay,leftApf1,1445.11,7.52663
legacy32k,192000,1,delay,leftDelay1,9576.02,49.8751
legacy32k,192000,1,delay,leftApf2,3870.84,20.1606
legacy32k,192000,1,delay,leftDelay2,7999.73,41.6653
legacy32k,192000,1,delay,rightApf1,1952.62,10.1699
legacy32k,192000,1,delay,rightDelay1,9068.51,47.2318
legacy32k,192000,1,delay,rightApf2,5711.64,29.7481
legacy32k,192000,1,delay,rightDelay2,6801.92,35.4267
legacy32k,192000,1,delay,inApf1,909.647,4.73774
legacy32k,192000,1,delay,inApf2,690.299,3.59531
legacy32k,192000,1,delay,inApf3,2445.08,12.7348
legacy32k,192000,1,delay,inApf4,1787.04,9.30748
legacy32k,192000,1,tap,L_DELAY1_T1,286,1.48958
legacy32k,192000,1,tap,L_DELAY1_T2,3197,16.651
legacy32k,192000,1,tap,L_APF2_T,2056,10.7083
legacy32k,192000,1,tap,L_DELAY2_T,2146,11.1771
legacy32k,192000,1,tap,R_DELAY1_T,2139,11.1406
legacy32k,192000,1,tap,R_APF2_T,201,1.04688
legacy32k,192000,1,tap,R_DELAY2_T,1146,5.96875
legacy32k,192000,2,delay,leftApf1,2890.23,15.0533
legacy32k,192000,2,delay,leftDelay1,19152,99.7502
legacy32k,192000,2,delay,leftApf2,7741.68,40.3212
legacy32k,192000,2,delay,leftDelay2,15999.5,83.3305
legacy32k,192000,2,delay,rightApf1,3905.25,20.3398
legacy32k,192000,2,delay,rightDelay1,18137,94.4637
legacy32k,192000,2,delay,rightApf2,11423.3,59.4962
legacy32k,192000,2,delay,rightDelay2,13603.8,70.8534
legacy32k,192000,2,delay,inApf1,909.647,4.73774
legacy32k,192000,2,delay,inApf2,690.299,3.59531
legacy32k,192000,2,delay,inApf3,2445.08,12.7348
legacy32k,192000,2,delay,inApf4,1787.04,9.30748
legacy32k,192000,2,tap,L_DELAY1_T1,286,1.48958
legacy32k,192000,2,tap,L_DELAY1_T2,3197,16.651
legacy32k,192000,2,tap,L_APF2_T,2056,10.7083
legacy32k,192000,2,tap,L_DELAY2_T,2146,11.1771
legacy32k,192000,2,tap,R_DELAY1_T,2139,11.1406
legacy32k,192000,2,tap,R_APF2_T,201,1.04688
legacy32k,192000,2,tap,R_DELAY2_T,1146,5.96875
correct,32000,0,delay,leftApf1,722.556,22.5799
correct,32000,0,delay,leftDelay1,4788.01,149.625
correct,32000,0,delay,leftApf2,1935.42,60.4818
correct,32000,0,delay,leftDelay2,3999.87,124.996
correct,32000,0,delay,rightApf1,976.311,30.5097
correct,32000,0,delay,rightDelay1,4534.26,141.696
correct,32000,0,delay,rightApf2,2855.82,89.2443
correct,32000,0,delay,rightDelay2,3400.96,106.28
correct,32000,0,delay,inApf1,151.608,4.73774
correct,32000,0,delay,inApf2,115.05,3.59531
correct,32000,0,delay,inApf3,407.513,12.7348
correct,32000,0,delay,inApf4,297.839,9.30748
correct,32000,0,tap,L_DELAY1_T1,286,8.9375
correct,32000,0,tap,L_DELAY1_T2,3197,99.9062
correct,32000,0,tap,L_APF2_T,2056,64.25
correct,32000,0,tap,L_DELAY2_T,2146,67.0625
correct,32000,0,tap,R_DELAY1_T,2139,66.8438
correct,32000,0,tap,R_APF2_T,201,6.28125
correct,32000,0,tap,R_DELAY2_T,1146,35.8125
correct,32000,1,delay,leftApf1,1445.11,45.1598
correct,32000,1,delay,leftDelay1,9576.02,299.251
correct,32000,1,delay,leftApf2,3870.84,120.964
correct,32000,1,delay,leftDelay2,7999.73,249.992
correct,32000,1,delay,rightApf1,1952.62,61.0195
correct,32000,1,delay,rightDelay1,9068.51,283.391
correct,32000,1,delay,rightApf2,5711.64,178.489
correct,32000,1,delay,rightDelay2,6801.92,212.56
correct,32000,1,delay,inApf1,151.608,4.73774
correct,32000,1,delay,inApf2,115.05,3.59531
correct,32000,1,delay,inApf3,407.513,12.7348
correct,32000,1,delay,inApf4,297.839,9.30748
correct,32000,1,tap,L_DELAY1_T1,286,8.9375
correct,32000,1,tap,L_DELAY1_T2,3197,99.9062
correct,32000,1,tap,L_APF2_T,2056,64.25
correct,32000,1,tap,L_DELAY2_T,2146,67.0625
correct,32000,1,tap,R_DELAY1_T,2139,66.8438
correct,32000,1,tap,R_APF2_T,201,6.28125
correct,32000,1,tap,R_DELAY2_T,1146,35.8125
correct,32000,2,delay,leftApf1,2890.23,90.3195
correct,32000,2,delay,leftDelay1,19152,598.501
correct,32000,2,delay,leftApf2,7741.68,241.927
correct,32000,2,delay,leftDelay2,15999.5,499.983
correct,32000,2,delay,rightApf1,3905.25,122.039
correct,32000,2,delay,rightDelay1,18137,566.782
correct,32000,2,delay,rightApf2,11423.3,356.977
correct,32000,2,delay,rightDelay2,13603.8,425.12
correct,32000,2,delay,inApf1,151.608,4.73774
correct,32000,2,delay,inApf2,115.05,3.59531
correct,32000,2,delay,inApf3,407.513,12.7348
correct,32000,2,delay,inApf4,297.839,9.30748
correct,32000,2,tap,L_DELAY1_T1,286,8.9375
correct,32000,2,tap,L_DELAY1_T2,3197,99.9062
correct,32000,2,tap,L_APF2_T,2056,64.25
correct,32000,2,tap,L_DELAY2_T,2146,67.0625
correct,32000,2,tap,R_DELAY1_T,2139,66.8438
correct,32000,2,tap,R_APF2_T,201,6.28125
correct,32000,2,tap,R_DELAY2_T,1146,35.8125
correct,44100,0,delay,leftApf1,995.773,22.5799
correct,44100,0,delay,leftDelay1,6598.48,149.625
correct,44100,0,delay,leftApf2,2667.25,60.4818
correct,44100,0,delay,leftDelay2,5512.31,124.996
correct,44100,0,delay,rightApf1,1345.48,30.5097
correct,44100,0,delay,rightDelay1,6248.77,141.696
correct,44100,0,delay,rightApf2,3935.67,89.2443
correct,44100,0,delay,rightDelay2,4686.95,106.28
correct,44100,0,delay,inApf1,208.935,4.73774
correct,44100,0,delay,inApf2,158.553,3.59531
correct,44100,0,delay,inApf3,561.604,12.7348
correct,44100,0,delay,inApf4,410.46,9.30748
correct,44100,0,tap,L_DELAY1_T1,394,8.93424
correct,44100,0,tap,L_DELAY1_T2,4406,99.9093
correct,44100,0,tap,L_APF2_T,2834,64.263
correct,44100,0,tap,L_DELAY2_T,2957,67.0522
correct,44100,0,tap,R_DELAY1_T,2948,66.8481
correct,44100,0,tap,R_APF2_T,277,6.28118
