model,host,size,decay,onset_ms,density_0_50,density_0_100,density_100_500,crest,rms_tail,peak,rt20,rt30,rt60,centroid_hz,energy_db
correct,96000,1,0.95,0,1120,1000,715,23.2842,0.00332118,0.0922028,6.72416,4.55608,4.55608,10400.5,6.60332
correct,96000,2,0.5,0,1100,810,450,47.0154,0.00153456,0.0923172,8.14747,6.94829,6.94829,11007.5,0.889274
correct,96000,2,0.877465,0,1100,810,450,28.8449,0.00250124,0.0923172,7.06416,4.79498,4.79498,11007.5,4.29411
correct,96000,2,0.95,0,1100,810,450,24.9461,0.00289215,0.0923172,5.75934,3.8861,3.8861,11007.5,5.41237
correct,192000,0,0.5,0,1220,1180,470,71.0042,0.000798959,0.057313,2.0342,2.05775,2.05775,21511.3,-0.758575
correct,192000,0,0.877465,0,1220,1180,997.5,38.6002,0.00146966,0.057313,7.90541,6.60309,6.60309,20618.8,2.96466
correct,192000,0,0.95,0,1220,1180,1140,28.647,0.00198029,0.057313,8.349,5.72743,5.72743,20447.4,5.18278
correct,192000,1,0.5,0,1180,1060,575,63.5896,0.000841695,0.0570119,4.22827,4.20641,4.20641,22484.2,-0.76305
correct,192000,1,0.877465,0,1180,1060,817.5,36.3619,0.00147195,0.0570119,8.49489,5.90907,5.90907,22484.2,2.8573
correct,192000,1,0.95,0,1180,1060,852.5,28.9848,0.00184659,0.0570119,6.96502,4.71694,4.71694,22484.2,4.56627
correct,192000,2,0.5,0,1160,920,602.5,58.5453,0.000898731,0.0570081,8.08064,6.97207,6.97207,22246.8,-0.734666
correct,192000,2,0.877465,0,1160,920,602.5,37.2727,0.00141166,0.0570081,7.36816,5.00378,5.00378,22246.8,2.38486
correct,192000,2,0.95,0,1160,920,602.5,32.4607,0.00162093,0.0570081,6.01727,4.06192,4.06192,22246.8,3.43794
invariant,32000,0,0.5,0,1120,1100,350,30.5315,0.00250115,0.1443,1.32497,1.37112,1.37112,4452.37,2.92419
invariant,32000,0,0.877465,0,1120,1100,1025,22.9314,0.00560292,0.1443,6.07369,5.98594,5.98594,4447.66,7.08256
invariant,32000,0,0.95,0,1120,1100,1140,17.4645,0.00793026,0.1443,8.79966,6.25794,6.25794,4442.28,9.56229
invariant,32000,1,0.5,0,960,1030,437.5,27.5976,0.00271072,0.1443,2.75728,2.76687,2.76687,4989.06,2.82393
invariant,32000,1,0.877465,0,960,1030,880,22.4033,0.0056422,0.1443,8.66719,6.401,6.401,5265.32,6.96522
invariant,32000,1,0.95,0,960,1030,945,17.9927,0.00759457,0.1443,7.69491,5.22562,5.22562,5293.41,9.13661
invariant,32000,2,0.5,0,840,890,360,33.152,0.0028596,0.1443,5.60456,5.5745,5.5745,4046.95,2.68171
invariant,32000,2,0.877465,0,840,890,482.5,21.5333,0.0054677,0.1443,7.93622,5.42031,5.42031,4046.95,6.59414
invariant,32000,2,0.95,0,840,890,497.5,18.9211,0.00673109,0.1443,6.38325,4.31581,4.31581,4046.95,8.12119
invariant,44100,0,0.5,0,1200,1070,327.5,35.3691,0.00199472,0.133529,1.35755,1.38259,1.38259,5925.62,2.27317
invariant,44100,0,0.877465,0,1200,1070,1065,25.7923,0.00457686,0.133529,6.06694,5.95052,5.95052,5934.9,6.64047
invariant,44100,0,0.95,0,1200,1070,1197.5,19.3351,0.00657741,0.133529,8.68245,6.16381,6.16381,5928.45,9.27033
invariant,44100,1,0.5,0,960,1000,380,29.5176,0.0021605,0.133347,2.81034,2.78553,2.78553,5908.99,2.22039
invariant,44100,1,0.877465,0,960,1000,812.5,24.0447,0.00455666,0.133347,8.62082,6.34181,6.34181,6465.31,6.46956
invariant,44100,1,0.95,0,960,1000,902.5,19.1537,0.00618467,0.133347,7.50327,5.09746,5.09746,6534.31,8.71761
invariant,44100,2,0.5,0,780,840,340,35.2039,0.0023417,0.133347,5.63952,5.58676,5.58676,6195.19,2.19729
invariant,44100,2,0.877465,0,780,840,465,22.9186,0.00445195,0.133347,7.87898,5.37986,5.37986,6195.19,6.15345
invariant,44100,2,0.95,0,780,840,490,20.1431,0.00548116,0.133347,6.32959,4.27646,4.27646,6195.19,7.69565
invariant,48000,0,0.5,0,1220,1080,332.5,34.5963,0.00190143,0.129688,1.35844,1.38437,1.38437,6943.9,2.13239
